strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
ridge_lns_l2,ridge,lns,2,hard,treatment,ridge_vs_random,0.00267049384743187,0.00267049384743187,0.042441739373654884,0.06292140442032736,0.21796613867919185,0.09897021833831247,0.3428428931962844,-0.15711937210114754,-0.3900105140984501,0.5234657039711191,0.6399942738344222,1.5718043059945204,18.861651671934244,0.0,0.0,0.0
ridge_lns_l3,ridge,lns,3,hard,treatment,ridge_vs_random,0.0023535861790407123,0.0023535861790407123,0.03890456432868155,0.06049640240555481,0.20956568528310596,0.092295541115515,0.3197211330482685,-0.15182777201838155,-0.37058599171021056,0.516245487364621,0.5600123274308957,1.454540076996746,17.45448092396095,0.0,0.0,0.0
ridge_lns_l4,ridge,lns,4,hard,treatment,ridge_vs_random,0.0026073597168188504,0.0026073597168188504,0.03805558804220076,0.0685145034134668,0.23734120193495156,0.10345164638057087,0.3583670153155954,-0.13151496317133335,-0.34997175369380007,0.5487364620938628,0.6869266963487983,1.349120918633612,16.189451023603343,0.0,0.0,0.0
ridge_lo_l2,ridge,lo,2,hard,treatment,ridge_vs_random,0.00932991703135993,0.00932991703135993,0.05169429879876112,0.18048251447766087,0.6252097699061882,0.27465483814253017,0.9514322684149372,-0.13190304641221065,-0.6039632493868817,0.6137184115523465,8.05778775699645,1.5357776979191613,18.429332375029936,0.0,0.0,0.0
ridge_lo_l3,ridge,lo,3,hard,treatment,ridge_vs_random,0.009131638425322396,0.009131638425322396,0.04972662025715344,0.1836368202403372,0.6361366055933135,0.27637144300887967,0.9573787621050119,-0.15670916759668205,-0.6214626683497511,0.628158844765343,7.806348681269046,1.444671863304679,17.336062359656147,0.0,0.0,0.0
ridge_lo_l4,ridge,lo,4,hard,treatment,ridge_vs_random,0.00964200826215521,0.00964200826215521,0.04887258962958144,0.19728867111881312,0.6834280042710618,0.30024890858272407,1.0400927291647624,-0.14600264015676837,-0.6220277638415732,0.6173285198555957,9.252214343803022,1.3656488863508074,16.38778663620969,0.0,0.0,0.0
ridge_los_l2,ridge,los,2,hard,treatment,ridge_vs_random,0.0029049042032344187,0.0029049042032344187,0.05200413160494448,0.0558591041439143,0.19350161288508155,0.08736150202352383,0.3026291202605491,-0.22541458925352464,-0.49325508787188477,0.51985559566787,0.5486627487381237,1.6361576107167743,19.633891328601294,0.0,0.0,0.0
ridge_los_l3,ridge,los,3,hard,treatment,ridge_vs_random,0.0029353131020262786,0.0029353131020262786,0.04695779435916992,0.06250960340204034,0.21653961810662842,0.09633569498997696,0.33371663661019724,-0.20991267054393367,-0.4813926121527963,0.555956678700361,0.6696146108216261,1.5656027882397603,18.787233458877125,0.0,0.0,0.0
ridge_los_l4,ridge,los,4,hard,treatment,ridge_vs_random,0.003490831932002249,0.003490831932002249,0.04511150566763752,0.07738229705124944,0.26806014019830265,0.11907448896847542,0.4124861295573984,-0.17471227981716006,-0.44569755821760637,0.555956678700361,0.990024417673439,1.495817489291737,17.949809871500847,0.0,0.0,0.0
ridge_mx_l2,ridge,mx,2,hard,treatment,ridge_vs_random,0.014159973873962308,0.014159973873962308,0.05405368641339021,0.26196129835937687,0.9074605567503006,0.4754513995085361,1.6470119609570255,-0.05446223527807322,-0.30533227471464275,0.628158844765343,32.32399095051522,1.5375177073359565,18.45021248803148,0.0,0.0,0.0
