strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
SPY_buy_and_hold,SPY_buy_and_hold,benchmark,0,benchmark,benchmark,benchmark,0.009913671470709741,0.009913671470709741,0.04214445264654188,0.23523075631931825,0.8148632428958259,0.36497193518463505,1.2642998701530461,-0.09524624439154124,-0.5078481812657349,0.6498194945848376,11.033893346398196,0.0036101083032490976,0.043321299638989175,0.0,0.0,0.0
equal_weight_benchmark,equal_weight_benchmark,benchmark,0,benchmark,benchmark,benchmark,0.009774557208609834,0.009774557208609834,0.041715133794683515,0.23431681309519317,0.81169725069699,0.3636391252093442,1.2596828809649694,-0.08123448274727753,-0.4928869296966908,0.6642599277978339,10.638314497576735,0.02531344833438665,0.3037613800126398,0.0,0.0,0.0
black_litterman_lns_l2,black_litterman,lns,2,hard,treatment,bl_vs_mvo,0.0065690511972731,0.0065690511972731,0.04422858472646336,0.14852501471390353,0.514505743358792,0.23514563996957685,0.814568391211212,-0.14064237178504121,-0.40656801429910294,0.5703971119133574,3.6950410959238438,0.9372139149583627,11.246566979500352,0.0,0.0,0.0
black_litterman_lns_l3,black_litterman,lns,3,hard,treatment,bl_vs_mvo,0.005545798988609745,0.005545798988609745,0.042642901111346304,0.13005210349382476,0.45051370176502076,0.2052104294727129,0.710869780179537,-0.14116497793456678,-0.3946264189363423,0.5631768953068592,2.611299822954132,0.9049420988897942,10.85930518667753,0.0,0.0,0.0
black_litterman_lns_l4,black_litterman,lns,4,hard,treatment,bl_vs_mvo,0.0057805879942259344,0.0057805879942259344,0.04204202943576121,0.13749545566201735,0.4762982300328958,0.21640129543268816,0.7496360770262774,-0.13556823423312925,-0.3771965006915925,0.5848375451263538,2.8789699735823,0.7891970875807246,9.470365050968695,0.0,0.0,0.0
black_litterman_lo_l2,black_litterman,lo,2,hard,treatment,bl_vs_mvo,0.012407973685978919,0.012407973685978919,0.048188022943106826,0.25749082299202003,0.8919743758098062,0.4284344169275784,1.4841403556594264,-0.10822234611571221,-0.47546934835936117,0.631768953068592,21.24027930408281,0.8041717163958764,9.650060596750517,0.0,0.0,0.0
black_litterman_lo_l3,black_litterman,lo,3,hard,treatment,bl_vs_mvo,0.010531148617967577,0.010531148617967577,0.046352777570278475,0.22719563249474348,0.7870287574772845,0.37517986968365274,1.2996611925383137,-0.09619036457554941,-0.44025466839913197,0.6245487364620939,12.62069152750883,0.8155976034564721,9.787171241477665,0.0,0.0,0.0
black_litterman_lo_l4,black_litterman,lo,4,hard,treatment,bl_vs_mvo,0.010195467682479776,0.010195467682479776,0.04554160211745791,0.22387151985088918,0.775513693498809,0.36444139625062255,1.2624620293748399,-0.09968785089695417,-0.45958188513624676,0.6245487364620939,11.535191967573631,0.7549103346534256,9.058924015841107,0.0,0.0,0.0
black_litterman_los_l2,black_litterman,los,2,hard,treatment,bl_vs_mvo,0.006965636247519467,0.006965636247519467,0.05364880782762574,0.12983767076241728,0.4497708849938137,0.19667697322985658,0.6813090206259511,-0.1912204077262249,-0.47899253178969414,0.5812274368231047,3.6019840802233603,0.8786977432911557,10.544372919493869,0.0,0.0,0.0
black_litterman_los_l3,black_litterman,los,3,hard,treatment,bl_vs_mvo,0.0050650781147989965,0.0050650781147989965,0.049775284500019445,0.10175889833029518,0.35250316406061405,0.15175494834294856,0.5256945616599545,-0.20250880796989237,-0.48114697865562417,0.5848375451263538,1.8797202025991258,0.9042116361981419,10.850539634377704,0.0,0.0,0.0
black_litterman_los_l4,black_litterman,los,4,hard,treatment,bl_vs_mvo,0.005096956496187691,0.005096956496187691,0.04770951500238548,0.10683312324455285,0.37008079478166633,0.16023699426813431,0.5550772306490631,-0.19307187944691245,-0.4610759513446099,0.5740072202166066,1.9876572117875742,0.851149245451596,10.213790945419152,0.0,0.0,0.0
black_litterman_mx_l2,black_litterman,mx,2,hard,treatment,bl_vs_mvo,0.013766945684487214,0.013766945684487214,0.05328493527486792,0.25836468813316654,0.8950015334566644,0.43717348768518416,1.5144133847856516,-0.1339674578703004,-0.5085963916755127,0.6353790613718412,29.092417821828207,0.8155679414544137,9.786815297452964,0.0,0.0,0.0
black_litterman_mx_l3,black_litterman,mx,3,hard,treatment,bl_vs_mvo,0.01149171862200785,0.01149171862200785,0.050366252616375305,0.2281630660421937,0.7903800455915453,0.3816462616434712,1.3220614313704346,-0.13455630020069145,-0.5032382166974163,0.6245487364620939,15.812514865394071,0.8359128047563941,10.03095365707673,0.0,0.0,0.0
black_litterman_mx_l4,black_litterman,mx,4,hard,treatment,bl_vs_mvo,0.011642331073013401,0.011642331073013401,0.04887042713134895,0.2382285516294411,0.8252479104714748,0.40537644944493545,1.4042652132610092,-0.12838090507228367,-0.48446274745182283,0.6245487364620939,16.889329698948433,0.7759214809224098,9.311057771068917,0.0,0.0,0.0
mvo_lns_l2,mvo,lns,2,hard,control,bl_vs_mvo,-0.002424410116439753,-0.002424410116439753,0.013701934769121094,-0.1769392540025401,-0.6129355555714685,-0.2188408641480684,-0.7580869909534655,-0.31653942615361874,-0.527063764590247,0.3935018050541516,-0.5026450663555855,0.18609093217979966,2.233091186157596,0.0,0.0,0.0
mvo_lns_l3,mvo,lns,3,hard,control,bl_vs_mvo,-0.0010269625091820908,-0.0010269625091820908,0.009073552400200923,-0.11318196709365451,-0.39207383501359677,-0.14480913150886757,-0.5016335463465637,-0.2008851659235176,-0.2956045947993686,0.4584837545126354,-0.256224710855128,0.19148589749120135,2.297830769894416,0.0,0.0,0.0
mvo_lns_l4,mvo,lns,4,hard,control,bl_vs_mvo,-0.0001960815705613603,-0.0001960815705613603,0.006463287361548281,-0.03033774604048998,-0.10509303505850036,-0.04090484916581704,-0.14169855406227302,-0.08915086446472832,-0.14215791872186068,0.49458483754512633,-0.058324125991254694,0.1835627375693887,2.2027528508326646,0.0,0.0,0.0
mvo_lo_l2,mvo,lo,2,hard,control,bl_vs_mvo,0.011840837775053752,0.011840837775053752,0.04342138200334952,0.27269601354789563,0.9446467009728922,0.4323159469313198,1.4975863700145926,-0.08434502599722896,-0.4297375400993815,0.6498194945848376,19.107561316215197,0.2390750363237782,2.8689004358853385,0.0,0.0,0.0
mvo_lo_l3,mvo,lo,3,hard,control,bl_vs_mvo,0.011164025284558603,0.011164025284558603,0.042516308839966786,0.2625821852640236,0.9096113720795053,0.4173659027753791,1.4457978979076178,-0.08302695850821398,-0.42997496983155703,0.6353790613718412,15.88999777765136,0.2270727366600152,2.7248728399201827,0.0,0.0,0.0
mvo_lo_l4,mvo,lo,4,hard,control,bl_vs_mvo,0.010892914939785683,0.010892914939785683,0.0411547473475525,0.2646818566955312,0.9168848472766492,0.4196203820476539,1.4536076431959994,-0.08153559465101691,-0.4236276965071668,0.6642599277978339,14.929659419326423,0.19414150886836465,2.3296981064203757,0.0,0.0,0.0
