strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
naive_lns_l2,naive,lns,2,soft,treatment,naive_vs_random,0.003325108292331997,0.006016370298134087,0.03797103168411215,0.08756960621966164,0.303350014342507,0.11903690906486458,0.4123559489526034,-0.1683016343443238,-0.5256875893099427,0.555956678700361,1.0440574428213454,1.3456310029010459,16.14757203481255,0.002691262005802092,0.7454795756071795,0.00269126200580209
naive_lns_l3,naive,lns,3,soft,treatment,naive_vs_random,0.0036970252771954476,0.0059875912404380805,0.03659797025108208,0.10101722177027397,0.3499339210911348,0.13899559016553925,0.4814948483894699,-0.13912936809224508,-0.5071391732345041,0.5848375451263538,1.300365618130173,1.145282981621317,13.743395779455804,0.0022905659632426333,0.6344867718182094,0.002290565963242633
naive_lns_l4,naive,lns,4,soft,treatment,naive_vs_random,0.004074265706444736,0.005983325206791478,0.036390476017799545,0.11195967055918435,0.3878396756143614,0.15545944997061548,0.538527331731636,-0.1331545909226869,-0.48202426364462236,0.5776173285198556,1.5594332285218253,0.9545297501733713,11.454357002080455,0.0019090595003467426,0.5288094815960477,0.0019090595003467426
naive_lo_l2,naive,lo,2,soft,treatment,naive_vs_random,0.007096285443176706,0.009674125616656955,0.04584115746098429,0.1548016201208794,0.5362485422866794,0.23712562207293283,0.8214272504133914,-0.11944913619899299,-0.5254694078513438,0.6064981949458483,4.311409982667647,1.2889200867401238,15.467041040881487,0.002577840173480248,0.7140617280540287,0.002577840173480249
naive_lo_l3,naive,lo,3,soft,treatment,naive_vs_random,0.007478344834375224,0.009782525321162151,0.044136835554645405,0.16943545545118102,0.5869416348900373,0.2598881298694369,0.9002788904358467,-0.11553828101973784,-0.5370618371117714,0.631768953068592,5.023792681387059,1.152090243393463,13.825082920721556,0.0023041804867869257,0.6382579948399785,0.002304180486786927
naive_lo_l4,naive,lo,4,soft,treatment,naive_vs_random,0.007521496696287641,0.009629217053605027,0.04328096250238439,0.1737830274886626,0.6020020662070048,0.2675677471574734,0.9268818650869739,-0.10654406933529469,-0.5246328448053756,0.6209386281588448,5.160196571122518,1.0538601786586943,12.646322143904332,0.002107720357317388,0.5838385389769165,0.002107720357317386
naive_los_l2,naive,los,2,soft,treatment,naive_vs_random,0.003786799870945098,0.006493144011665244,0.04474807654267949,0.08462486353649977,0.2931491264576009,0.11676725489454498,0.40449363627539514,-0.17413550114701712,-0.5356428959130897,0.592057761732852,1.1480367313923843,1.3531720703600725,16.23806484432087,0.002706344140720145,0.7496573269794802,0.0027063441407201455
naive_los_l3,naive,los,3,soft,treatment,naive_vs_random,0.004331574334894522,0.006774230614658629,0.04131439010534379,0.10484420377136965,0.3631909756222334,0.1443592496836412,0.5000751099891758,-0.16348283771358252,-0.552893135362238,0.6028880866425993,1.6016628615819677,1.2213281398820524,14.655937678584628,0.0024426562797641048,0.6766157894946571,0.0024426562797641065
naive_los_l4,naive,los,4,soft,treatment,naive_vs_random,0.0036325489280100787,0.005904081841396917,0.039674105492438085,0.09155969322868401,0.3171720811950016,0.12447974326301434,0.43121047968934095,-0.17093433287048246,-0.5619585993165102,0.5884476534296029,1.1848598347185977,1.1357664566934198,13.629197480321038,0.00227153291338684,0.6292146170081546,0.002271532913386838
naive_mx_l2,naive,mx,2,soft,treatment,naive_vs_random,0.007600683611568319,0.010192950575510467,0.04559052980122345,0.16671628175210085,0.5775221408872134,0.2628807223609945,0.9106455349193007,-0.08886618601626876,-0.44250782828351387,0.6064981949458483,5.131622137902453,1.2961334819710744,15.553601783652892,0.002592266963942149,0.7180579490119753,0.0025922669639421476
naive_mx_l3,naive,mx,3,soft,treatment,naive_vs_random,0.007969385922387408,0.01029507798580657,0.0435164277906031,0.18313511303674404,0.6343986408590202,0.2861615643491546,0.9912927372522528,-0.0870972802390969,-0.4401005938501015,0.6389891696750902,5.951269250760596,1.1628460317095817,13.95415238051498,0.0023256920634191626,0.6442167015671081,0.0023256920634191613
