strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
ridge_lns_l2,ridge,lns,2,soft,treatment,ridge_vs_random,0.001834887434308814,0.0050609772224205615,0.04337848070122985,0.04229948593512617,0.1465297175473673,0.06068968544629539,0.21023523737671412,-0.20187728174084732,-0.5839136803015724,0.5234657039711191,0.2757748259917554,1.6130448940558737,19.356538728670486,0.003226089788111748,0.8936268713069542,0.0032260897881117474
ridge_lns_l3,ridge,lns,3,soft,treatment,ridge_vs_random,0.002064077029253128,0.005066930689859105,0.0397118035011452,0.05197641122477866,0.18005157007281986,0.0747990988817714,0.2591116792471929,-0.1900447517858923,-0.5639111585646802,0.5487364620938628,0.419868092582405,1.5014268303029885,18.017121963635862,0.003002853660605977,0.8317904639878556,0.003002853660605977
ridge_lns_l4,ridge,lns,4,soft,treatment,ridge_vs_random,0.00190641584694492,0.004671120651157152,0.03851225181720366,0.049501541898760444,0.17147837124330528,0.07094631128185683,0.24576523149954613,-0.17575789066056732,-0.5473331152510287,0.5270758122743683,0.37779356799045427,1.3823524021061162,16.588228825273394,0.0027647048042122326,0.7658232307667885,0.0027647048042122313
ridge_lo_l2,ridge,lo,2,soft,treatment,ridge_vs_random,0.008463263718248196,0.011638008856166707,0.04793267046360874,0.17656566255104944,0.6116413968209581,0.2825763686153497,0.9788732549201943,-0.09093536722554756,-0.39851694420528105,0.6064981949458483,6.5464724942782375,1.5873725689592564,19.048470827511075,0.0031747451379185126,0.879404403203428,0.0031747451379185113
ridge_lo_l3,ridge,lo,3,soft,treatment,ridge_vs_random,0.00803267667556622,0.011003530962126905,0.04612513358810712,0.17414966745239652,0.6032721442975496,0.2736937365456478,0.9481029148208656,-0.08245991958995641,-0.4339603193028452,0.5956678700361011,5.850289983686457,1.4854271432803423,17.82512571936411,0.002970854286560685,0.8229266373773098,0.002970854286560685
ridge_lo_l4,ridge,lo,4,soft,treatment,ridge_vs_random,0.008604107894749823,0.011421555973242731,0.04523056881428968,0.1902277181186262,0.6589681455787025,0.30142882686503286,1.0441800859922388,-0.07674423052806904,-0.44056628329657943,0.592057761732852,7.105163991353319,1.4087240392464542,16.90468847095745,0.002817448078492908,0.7804331177425355,0.0028174480784929085
ridge_los_l2,ridge,los,2,soft,treatment,ridge_vs_random,0.002595628543573897,0.006043217722425893,0.05368968027190129,0.04834501770971301,0.16747205393208017,0.07041051042007539,0.24390916286885683,-0.22997178561689607,-0.7109119120151313,0.51985559566787,0.36899904642701764,1.7237945894259983,20.68553507311198,0.003447589178851996,0.954982202542003,0.0034475891788519957
ridge_los_l3,ridge,los,3,soft,treatment,ridge_vs_random,0.0017758406520679499,0.0050419394464547755,0.047417290990319244,0.037451330832681,0.12973521562654863,0.05343792586592604,0.18511440530176598,-0.23437640643118393,-0.6555816190910388,0.516245487364621,0.19201071944823545,1.6330493971934135,19.59659276632096,0.0032660987943868265,0.904709366045151,0.0032660987943868257
ridge_los_l4,ridge,los,4,soft,treatment,ridge_vs_random,0.0013562947489497313,0.004495267911969601,0.04476115518757505,0.03030070924814327,0.10496473584631259,0.04313912007819788,0.14943829553850682,-0.20729742753105518,-0.6211372873803078,0.5090252707581228,0.09922328892282506,1.5694865815099348,18.833838978119218,0.0031389731630198695,0.8694955661565038,0.00313897316301987
ridge_mx_l2,ridge,mx,2,soft,treatment,ridge_vs_random,0.00940017028604129,0.012588817827711807,0.04595860691604256,0.2045355792270548,0.7085320303535766,0.3462007288890955,1.1992745041065835,-0.08466271952997445,-0.29289547438551966,0.6101083032490975,9.035719122369079,1.5943237708352587,19.131885250023103,0.0031886475416705177,0.8832553690427334,0.0031886475416705168
ridge_mx_l3,ridge,mx,3,soft,treatment,ridge_vs_random,0.008786132895702896,0.01177186421097796,0.04413911486216697,0.19905548453201466,0.6895484254693802,0.3299190841020368,1.1428732321026343,-0.0739641609697565,-0.2800438460030851,0.5956678700361011,7.655403204730627,1.4928656576375312,17.914387891650374,0.0029857313152750623,0.8270475743311922,0.002985731315275065
ridge_mx_l4,ridge,mx,4,soft,treatment,ridge_vs_random,0.0093499179842616,0.012185534786000268,0.042989802490849376,0.21749153153824755,0.7534127656804271,0.36447291091466255,1.2625711993734414,-0.06615712784603166,-0.28540969270359906,0.5992779783393501,9.242603551587198,1.4178084008693348,17.013700810432017,0.00283561680173867,0.7854658540816115,0.0028356168017386676
ridge_random_lns_l2,ridge_random,lns,2,soft,control,ridge_vs_random,-0.0019659552614676116,0.0011705510936116101,0.038437988085777135,-0.051146154087993397,-0.1771754749843024,-0.06564369981569361,-0.22739644655516214,-0.34386581579657194,-0.6794992609092265,0.51985559566787,-0.5295096799492595,1.5682531775396114,18.819038130475334,0.0031365063550792224,0.8688122603569446,0.003136506355079222
ridge_random_lns_l3,ridge_random,lns,3,soft,control,ridge_vs_random,-0.0009484847144319892,0.0019218394566146494,0.03673247210644119,-0.025821423390277848,-0.08944803447141728,-0.033854169129630476,-0.11727428196109964,-0.28799972495270354,-0.5922294286697503,0.5342960288808665,-0.36413870752143984,1.4351620855233191,17.22194502627983,0.0028703241710466387,0.7950797953799189,0.0028703241710466387
ridge_random_lns_l4,ridge_random,lns,4,soft,control,ridge_vs_random,-0.0004998000554466823,0.0021047568838284923,0.036781654160590635,-0.013588297395884616,-0.04707124295605604,-0.01789314894724402,-0.06198368616804842,-0.2546730353061713,-0.5452330140509861,0.5342960288808665,-0.2803015481059755,1.3022784696375873,15.627341635651048,0.0026045569392751746,0.7214622721792234,0.0026045569392751746
ridge_random_lo_l2,ridge_random,lo,2,soft,control,ridge_vs_random,0.00750845287880204,0.010451815468594089,0.04596829160290519,0.16333982875986425,0.56582576462337,0.2487687253914615,0.8617601434243223,-0.08523324056556013,-0.42189320540570974,0.628158844765343,4.936748458692297,1.4716812948960236,17.660175538752284,0.0029433625897920474,0.8153114373723971,0.0029433625897920482
ridge_random_lo_l3,ridge_random,lo,3,soft,control,ridge_vs_random,0.007697915493977869,0.010449775829178299,0.04380079719672638,0.17574829652993626,0.6088099578670612,0.2724794878331234,0.943896633894631,-0.0821895489422969,-0.4210578913828994,0.6137184115523465,5.4282241586731,1.3759301676002142,16.511162011202572,0.0027518603352004287,0.7622653128505188,0.00275186033520043
ridge_random_lo_l4,ridge_random,lo,4,soft,control,ridge_vs_random,0.008325060459606867,0.010940449063695842,0.043628398644284326,0.19081746564854765,0.6610110909496268,0.30059756822393807,1.0413005215910252,-0.07406418251692574,-0.42820645857043127,0.6173285198555957,6.657930675323705,1.3076943020444862,15.692331624533836,0.002615388604088972,0.7244626433326453,0.0026153886040889748
ridge_random_los_l2,ridge_random,los,2,soft,control,ridge_vs_random,-0.0025840362332012444,0.0006547397877867134,0.047524924295269305,-0.05437223249734798,-0.18835093841270864,-0.07021607181537914,-0.24323560778428344,-0.4289062755374638,-0.7772014281534062,0.51985559566787,-0.6455810585662161,1.6193880104939788,19.432656125927746,0.0032387760209879584,0.8971409578136644,0.0032387760209879575
ridge_random_los_l3,ridge_random,los,3,soft,control,ridge_vs_random,-0.0019335070309979318,0.001140578324124309,0.0437925306805956,-0.04415152540738336,-0.1529453704745123,-0.05757899049110289,-0.19945947395823094,-0.38377716949384116,-0.7317262375494392,0.5090252707581228,-0.5538642650611104,1.5370426775611208,18.44451213073345,0.0030740853551222418,0.8515216433688609,0.0030740853551222405
ridge_random_los_l4,ridge_random,los,4,soft,control,ridge_vs_random,-0.0009958601327593839,0.0019039316999502425,0.04156354188521983,-0.02395994392175504,-0.08299968043796166,-0.03205450947089155,-0.11104007803056386,-0.30366731721998713,-0.6201705777420887,0.5342960288808665,-0.4044762572524432,1.4498959163548133,17.39875099625776,0.002899791832709627,0.8032423376605666,0.0028997918327096266
ridge_random_mx_l2,ridge_random,mx,2,soft,control,ridge_vs_random,0.005357235609560578,0.008368744185720227,0.04126395755814561,0.1298284490044762,0.4497389398872356,0.1898476728757297,0.6576516302389593,-0.08607812971973669,-0.2785481812929157,0.6028880866425993,2.468254681195637,1.5057542880798256,18.069051456957908,0.0030115085761596512,0.8341878755962234,0.003011508576159648
ridge_random_mx_l3,ridge_random,mx,3,soft,control,ridge_vs_random,0.005565248991672566,0.008382664883568876,0.038994138313696865,0.1427201428815199,0.4943970774685642,0.21425599140903429,0.7422045258929765,-0.08141911353038321,-0.2764117211711069,0.5956678700361011,2.770209377336265,1.4087079459481542,16.90449535137785,0.0028174158918963083,0.7804242020552774,0.0028174158918963096
ridge_random_mx_l4,ridge_random,mx,4,soft,control,ridge_vs_random,0.006329199097813659,0.009005905446251699,0.03861572586640109,0.16390211386187073,0.5677735773533985,0.25121156845415804,0.8702224000233374,-0.06913076850664643,-0.28285334879624613,0.6028880866425993,3.6749200894375544,1.3383531742190198,16.06023809062824,0.0026767063484380398,0.7414476585173371,0.0026767063484380398
