strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
ridge_lns_l2,ridge,lns,2,soft,treatment,ridge_vs_random,0.007861689602514628,0.008110593790378783,0.04427314567971485,0.17757241961952372,0.6151289056079112,0.26903984691895183,0.9319813682483552,-0.10763195926677901,-0.31097447452852833,0.6028880866425993,5.6766618896181456,0.49780837572830994,5.97370050873972,0.000248904187864155,0.06894646003837093,0.00024890418786415423
ridge_lns_l3,ridge,lns,3,soft,treatment,ridge_vs_random,0.007947061170477603,0.008194226991333998,0.04166216821382265,0.1907500620152777,0.6607775979147503,0.28838005615281054,0.9989778182924672,-0.0960379788085908,-0.31159790045371183,0.6101083032490975,6.048205750483737,0.4943316417127913,5.931979700553496,0.00024716582085639564,0.0684649323772216,0.0002471658208563956
ridge_lns_l4,ridge,lns,4,soft,treatment,ridge_vs_random,0.007835594538410845,0.008035166941352366,0.039150291348457135,0.20014141066461402,0.693310183939238,0.3028342696767788,1.0490486827063916,-0.08302926604141837,-0.28496499030816624,0.628158844765343,6.0303616757631975,0.39914480588304546,4.789737670596546,0.00019957240294152275,0.0552815556148018,0.00019957240294152072
ridge_lo_l2,ridge,lo,2,soft,treatment,ridge_vs_random,0.009946381108728529,0.010142585593714578,0.04556432904796434,0.21829315424041998,0.7561896681777538,0.3483667193125615,1.2067777150308852,-0.10113361844436768,-0.30470036902217845,0.6028880866425993,10.673868310742437,0.39240896997210145,4.708907639665218,0.00019620448498605073,0.05434864234113605,0.00019620448498604975
ridge_lo_l3,ridge,lo,3,soft,treatment,ridge_vs_random,0.009570772663040707,0.009771321821715272,0.042005923545582274,0.22784340529152006,0.7892727082688406,0.3672470596747712,1.2721811325739663,-0.0834761121054845,-0.29657664573539155,0.592057761732852,9.9933515035682,0.40109831734913126,4.813179808189576,0.00020054915867456565,0.05555211695285468,0.00020054915867456433
ridge_lo_l4,ridge,lo,4,soft,treatment,ridge_vs_random,0.009306813939168606,0.009469165472457509,0.04036684176205119,0.23055591007166504,0.7986691004588097,0.3641340067321365,1.261397200847376,-0.08351559523029627,-0.2940626785868745,0.6245487364620939,9.408503984582696,0.32470306657780534,3.896436798933664,0.00016235153328890268,0.04497137472102604,0.00016235153328890244
ridge_los_l2,ridge,los,2,soft,treatment,ridge_vs_random,0.007280272956395621,0.007485228281016163,0.04776232861219434,0.15242709407046945,0.5280229427602676,0.22189721530560189,0.7686745019347055,-0.13168394393481672,-0.36515616593851585,0.6101083032490975,4.424731028856803,0.4099106492410813,4.918927790892975,0.00020495532462054065,0.056772624919889755,0.00020495532462054197
ridge_los_l3,ridge,los,3,soft,treatment,ridge_vs_random,0.007012533619105607,0.007222321056199318,0.043337031815991016,0.16181388815184242,0.5605397512985173,0.2364484603883396,0.8190814935280826,-0.10718407269272232,-0.31310049585931554,0.5992779783393501,4.334325400334634,0.419574874187425,5.0348984902491,0.00020978743709371253,0.05811112007495837,0.0002097874370937114
ridge_los_l4,ridge,los,4,soft,treatment,ridge_vs_random,0.006648560738843025,0.006818831524119763,0.041731587930311925,0.15931722392029596,0.5518910527015605,0.22736181628848287,0.7876044350255869,-0.10761562650745654,-0.31900108345480027,0.628158844765343,3.9142318764584294,0.3405415705534757,4.0864988466417085,0.00017027078527673782,0.04716500752165638,0.00017027078527673788
ridge_mx_l2,ridge,mx,2,soft,treatment,ridge_vs_random,0.008527850775712442,0.008728245501318954,0.04498275980427282,0.18958042620814028,0.6567258606261226,0.29112327532251103,1.0084806082489037,-0.11900670024039618,-0.3333539207128995,0.6209386281588448,6.952806179874267,0.40078945121302373,4.809473414556285,0.00020039472560651187,0.05550933899300379,0.00020039472560651195
ridge_mx_l3,ridge,mx,3,soft,treatment,ridge_vs_random,0.00820683600780348,0.008412225271731974,0.040674662876353754,0.20176776960023757,0.6989440565549253,0.3104740373166378,1.0755136141269044,-0.09176499473563002,-0.3031955552314475,0.6028880866425993,6.66084794026232,0.41077852785698693,4.929342334283843,0.0002053892639284935,0.0568928261081927,0.0002053892639284939
ridge_mx_l4,ridge,mx,4,soft,treatment,ridge_vs_random,0.007944544633488062,0.008110738713258896,0.03917569550412945,0.20279268896835895,0.7024944813934205,0.30562298317587483,1.0587090696427668,-0.09232727461822005,-0.30959048832276026,0.631768953068592,6.241591353335346,0.3323881595416681,3.9886579145000174,0.00016619407977083405,0.04603576009652103,0.00016619407977083375
ridge_random_lns_l2,ridge_random,lns,2,soft,control,ridge_vs_random,0.005466497194412359,0.005775675604375782,0.041517661705408035,0.13166678878016633,0.45610713567337574,0.18921965153753423,0.6554761005069754,-0.14492512983357386,-0.422074385774559,0.6028880866425993,2.561148830954728,0.6183568199268429,7.420281839122115,0.0003091784099634214,0.08564241955986773,0.0003091784099634228
ridge_random_lns_l3,ridge_random,lns,3,soft,control,ridge_vs_random,0.005831345933531773,0.0061752892687355135,0.03921981746104432,0.1486836581869318,0.5150553004699402,0.20841808963438563,0.7219814409264005,-0.14324431640377577,-0.44403081162136093,0.6209386281588448,3.0328072596775595,0.687886670407483,8.254640044889795,0.00034394333520374143,0.09527230385143638,0.00034394333520374083
ridge_random_lns_l4,ridge_random,lns,4,soft,control,ridge_vs_random,0.005876965719605568,0.00615891933980297,0.03668242746617185,0.16021201773043087,0.5549907093844642,0.22966156784435032,0.795571008104683,-0.12123743727874768,-0.373387150531453,0.6245487364620939,3.203601776892916,0.5639072403948028,6.766886884737634,0.0002819536201974015,0.07810115279468022,0.00028195362019740183
ridge_random_lo_l2,ridge_random,lo,2,soft,control,ridge_vs_random,0.00974983282601156,0.010012309372972525,0.04402297016524382,0.22147149066532232,0.7671997485207092,0.34752072602822276,1.2038471083282114,-0.07808406940793154,-0.2763628119301258,0.6101083032490975,10.26280609986437,0.5249530939219308,6.29943712706317,0.00026247654696096533,0.0727060035081874,0.00026247654696096544
ridge_random_lo_l3,ridge_random,lo,3,soft,control,ridge_vs_random,0.009721905720724903,0.010023830198283207,0.04128989732887324,0.23545482913871427,0.8156394539114041,0.36787606932242434,1.2743600859103386,-0.07501759473639444,-0.30476912013079216,0.6353790613718412,10.536424322354746,0.6038489551166077,7.246187461399293,0.0003019244775583039,0.08363308028365019,0.00030192447755830396
ridge_random_lo_l4,ridge_random,lo,4,soft,control,ridge_vs_random,0.009420369721634916,0.00969019016821247,0.039299018457896975,0.23971005107232982,0.8303799750844113,0.37467482093404864,1.2979116523490868,-0.07294343565021945,-0.30039334834214537,0.6209386281588448,9.855469566719849,0.5396408931551046,6.475690717861255,0.0002698204465775523,0.07474026370198199,0.0002698204465775532
ridge_random_los_l2,ridge_random,los,2,soft,control,ridge_vs_random,0.006061286425538933,0.006336014644379899,0.0457919180724219,0.13236585582531715,0.4585287749535723,0.18716061063887277,0.6483433736042875,-0.15299018733457437,-0.4524980116898212,0.6064981949458483,2.9741068635250447,0.5494564376819314,6.5934772521831775,0.0002747282188409657,0.0760997166189475,0.0002747282188409663
ridge_random_los_l3,ridge_random,los,3,soft,control,ridge_vs_random,0.006320078933080445,0.006633347067906996,0.04099781742316897,0.15415647296162646,0.5340136869703098,0.2226712309098122,0.7713557706393923,-0.1315349662292335,-0.42062355316310307,0.6137184115523465,3.5333742783859554,0.6265362696531013,7.518435235837215,0.0003132681348265506,0.08677527334695452,0.0003132681348265512
ridge_random_los_l4,ridge_random,los,4,soft,control,ridge_vs_random,0.006169788910692186,0.00644408765648468,0.03878135705945071,0.15909161975002775,0.5511095369309525,0.22985295227340183,0.7962339832144725,-0.12621357841393818,-0.3952070336720891,0.6101083032490975,3.4580541635213917,0.5485974915849894,6.583169899019873,0.0002742987457924948,0.07598075258452106,0.0002742987457924938
ridge_random_mx_l2,ridge_random,mx,2,soft,control,ridge_vs_random,0.009111503015573473,0.009377052720024353,0.04315429617007191,0.21113779679466593,0.7314027828930293,0.32420474146077616,1.1230781685295927,-0.08320719130586943,-0.2781509407863636,0.6245487364620939,8.543747512344636,0.5310994089017602,6.373192906821123,0.00026554970445088013,0.0735572681328938,0.0002655497044508799
ridge_random_mx_l3,ridge_random,mx,3,soft,control,ridge_vs_random,0.009109913369404183,0.00941486536028862,0.04049819159467215,0.22494617687083746,0.779236414617331,0.3445488840046376,1.193552345574376,-0.07873263557904914,-0.30257988026436533,0.6425992779783394,8.833316889778187,0.6099039817688718,7.318847781226462,0.00030495199088443595,0.08447170147498875,0.0003049519908844365
ridge_random_mx_l4,ridge_random,mx,4,soft,control,ridge_vs_random,0.008838800968773547,0.009110478824466157,0.038513604792782825,0.22949814789681475,0.7950049048004791,0.3517333832558216,1.2184401810343584,-0.07692044491705934,-0.29819027311555324,0.6245487364620939,8.32617883783018,0.543355711385212,6.5202685366225435,0.000271677855692606,0.07525476602685187,0.0002716778556926102
