strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
mvo_lns_l1,mvo,lns,1,soft,treatment,mvo,-0.0022927008095797873,-0.0021737384485915863,0.023849205362911394,-0.09613321595801402,-0.33301522866854294,-0.13453959722046097,-0.46605883603138176,-0.4196493988009562,-0.6725019384719322,0.4035714285714286,-0.5141498997079479,0.23792472197640321,2.8550966637168385,0.00011896236098820162,0.03330946107669645,0.00011896236098820094
mvo_lns_l2,mvo,lns,2,soft,treatment,mvo,-0.0012581732330529637,-0.0011341953546509648,0.01699856575527147,-0.07401643474907807,-0.25640045116101956,-0.10666704658086398,-0.369505488342745,-0.29908124534722474,-0.47004644663318007,0.4107142857142857,-0.3247361754066831,0.24795575680399712,2.975469081647965,0.00012397787840199854,0.034713805952559594,0.00012397787840199887
mvo_lns_l3,mvo,lns,3,soft,treatment,mvo,-0.0005361580057832022,-0.0004152399822143611,0.011609745947004672,-0.04618171734597961,-0.1599781616480432,-0.06797824539426878,-0.2354835496645171,-0.16838257969909287,-0.25683831737116103,0.425,-0.15540887297486428,0.24183604713768245,2.9020325656521893,0.00012091802356884121,0.03385704659927554,0.00012091802356884108
mvo_lns_l4,mvo,lns,4,soft,treatment,mvo,0.00027281061600671906,0.0003918315366443217,0.009237810297825454,0.029531956947734427,0.10230169976082545,0.045788195999833484,0.15861496371726724,-0.06964542773716198,-0.11631193399425466,0.4607142857142857,0.06663885110860934,0.23804184127520556,2.8565020953024667,0.00011902092063760277,0.03332585777852878,0.00011902092063760262
mvo_lns_l5,mvo,lns,5,soft,treatment,mvo,0.0011309606575599155,0.0012255942742153446,0.008252225034450267,0.13704917799000083,0.47475227882846344,0.2231150155109644,0.772893085593017,-0.019716426236495204,-0.06442389988945063,0.5464285714285714,0.3593754945662597,0.1892672333108581,2.2712067997302974,9.463361665542904e-05,0.026497412663520133,9.46336166554292e-05
mvo_lns_l6,mvo,lns,6,soft,treatment,mvo,0.0011309606575599157,0.0012255942742153449,0.008252225034450267,0.13704917799000085,0.47475227882846355,0.22311501551096444,0.7728930855930171,-0.019716426236495204,-0.06442389988945063,0.5464285714285714,0.3593754945662597,0.18926723331085807,2.271206799730297,9.463361665542904e-05,0.026497412663520133,9.46336166554292e-05
mvo_lns_l7,mvo,lns,7,soft,treatment,mvo,0.0011309606575599155,0.0012255942742153446,0.008252225034450267,0.13704917799000083,0.47475227882846344,0.2231150155109644,0.772893085593017,-0.019716426236495204,-0.06442389988945063,0.5464285714285714,0.3593754945662593,0.18926723331085807,2.271206799730297,9.463361665542904e-05,0.026497412663520133,9.46336166554292e-05
mvo_lns_l8,mvo,lns,8,soft,treatment,mvo,0.0011309606575599157,0.0012255942742153449,0.008252225034450267,0.13704917799000085,0.47475227882846355,0.22311501551096444,0.7728930855930171,-0.019716426236495204,-0.06442389988945063,0.5464285714285714,0.3593754945662595,0.1892672333108581,2.2712067997302974,9.463361665542904e-05,0.026497412663520133,9.46336166554292e-05
mvo_lns_l9,mvo,lns,9,soft,treatment,mvo,0.0011309606575599155,0.0012255942742153446,0.008252225034450267,0.13704917799000083,0.47475227882846344,0.2231150155109644,0.772893085593017,-0.019716426236495204,-0.06442389988945063,0.5464285714285714,0.3593754945662593,0.18926723331085807,2.271206799730297,9.463361665542904e-05,0.026497412663520133,9.46336166554292e-05
mvo_lns_l10,mvo,lns,10,soft,treatment,mvo,0.0011309606575599155,0.0012255942742153446,0.008252225034450267,0.13704917799000083,0.47475227882846344,0.2231150155109644,0.772893085593017,-0.019716426236495204,-0.06442389988945063,0.5464285714285714,0.3593754945662593,0.18926723331085807,2.271206799730297,9.463361665542904e-05,0.026497412663520133,9.46336166554292e-05
mvo_lo_l1,mvo,lo,1,soft,treatment,mvo,0.013371974504942302,0.01355438575380429,0.04592481260571096,0.2911710194606093,1.008645998794803,0.5070583903644809,1.7565017890307482,-0.07759024846003298,-0.3401079149431214,0.6321428571428571,29.911903569135333,0.3648224977239752,4.377869972687702,0.0001824112488619876,0.05107514968135653,0.0001824112488619887
mvo_lo_l2,mvo,lo,2,soft,treatment,mvo,0.011638404552148637,0.011804712528628775,0.03963592706854333,0.2936327068122331,1.0171735339255272,0.5044324540986979,1.7474052789712005,-0.06153815576511305,-0.2790297209543522,0.6428571428571429,19.57328555550195,0.3326159529602824,3.991391435523389,0.0001663079764801412,0.04656623341443954,0.0001663079764801373
mvo_lo_l3,mvo,lo,3,soft,treatment,mvo,0.010547354287376876,0.01069028889147995,0.03834661246183483,0.2750530910096511,0.9528118568151641,0.4586709035227615,1.5888826177098914,-0.065691745616925,-0.34410433389521244,0.6357142857142857,14.409062995974702,0.2858692082061511,3.4304304984738128,0.00014293460410307553,0.04002168914886115,0.00014293460410307393
