strategy,family,mode,l_value,forecast_mode,control_group,comparison,mean_return,gross_mean_return,volatility,sharpe_monthly,sharpe_annualized,sortino_monthly,sortino_annualized,avg_drawdown,max_drawdown,positive_return_pct,cumulative_return,avg_monthly_turnover,annualized_turnover,mean_transaction_cost,total_transaction_cost,cost_drag_mean_return
naive_lns_l1,naive,lns,1,soft,treatment,naive_vs_random,0.008508475481417234,0.00875704185208745,0.05292841002452902,0.1607544129414446,0.5568696215109797,0.2517133991912683,0.8719607926902868,-0.2394044441716113,-0.586728829144375,0.5892857142857143,6.2826379531014505,0.49713274134042595,5.965592896085111,0.000248566370670213,0.06959858378765964,0.0002485663706702154
naive_lns_l2,naive,lns,2,soft,treatment,naive_vs_random,0.008396538388568514,0.008606258157264608,0.04384651756964253,0.1914984097706752,0.6633699505829075,0.303499974397393,1.0513547515042763,-0.13721306375247883,-0.4635643743722847,0.6214285714285714,6.970771478593964,0.41943953739218454,5.033274448706214,0.0002097197686960923,0.05872153523490584,0.00020971976869609346
naive_lns_l3,naive,lns,3,soft,treatment,naive_vs_random,0.007617116209571928,0.007789638345332296,0.04188405761383695,0.18186194565484298,0.6299882596750361,0.27877664849876493,0.9657106383272617,-0.13134890055104725,-0.4604188476007586,0.6178571428571429,5.559707839606409,0.3450442715207369,4.140531258248843,0.00017252213576036848,0.04830619801290317,0.0001725221357603687
naive_lns_l4,naive,lns,4,soft,treatment,naive_vs_random,0.007994374190180405,0.008135198760024947,0.04059577987699189,0.19692623751542473,0.6821724974401838,0.3019740504705189,1.0460687959646142,-0.12241195806812084,-0.42814977749264693,0.6571428571428571,6.391992387784107,0.2816491396890857,3.379789676269029,0.00014082456984454287,0.039430879556472,0.00014082456984454254
naive_lns_l5,naive,lns,5,soft,treatment,naive_vs_random,0.007874109072747796,0.007930054259192373,0.03904789133653033,0.20165260666409812,0.6985451204418406,0.31004793972259725,1.0740375687631822,-0.11263305203218667,-0.4026028685908175,0.6607142857142857,6.273214434094083,0.11189037288916019,1.3426844746699222,5.594518644458009e-05,0.015664652204482425,5.5945186444576744e-05
naive_lns_l6,naive,lns,6,soft,treatment,naive_vs_random,0.007874109072747796,0.007930054259192375,0.03904789133653033,0.20165260666409812,0.6985451204418406,0.31004793972259725,1.0740375687631822,-0.11263305203218678,-0.4026028685908176,0.6607142857142857,6.273214434094082,0.11189037288916019,1.3426844746699222,5.594518644458009e-05,0.015664652204482425,5.594518644457848e-05
naive_lns_l7,naive,lns,7,soft,treatment,naive_vs_random,0.007874109072747796,0.007930054259192375,0.03904789133653033,0.20165260666409812,0.6985451204418406,0.31004793972259725,1.0740375687631822,-0.11263305203218667,-0.4026028685908175,0.6607142857142857,6.273214434094085,0.11189037288916019,1.3426844746699222,5.594518644458009e-05,0.015664652204482425,5.594518644457848e-05
naive_lns_l8,naive,lns,8,soft,treatment,naive_vs_random,0.007874109072747796,0.007930054259192375,0.03904789133653033,0.20165260666409812,0.6985451204418406,0.31004793972259725,1.0740375687631822,-0.11263305203218678,-0.4026028685908176,0.6607142857142857,6.273214434094082,0.11189037288916019,1.3426844746699222,5.594518644458009e-05,0.015664652204482425,5.594518644457848e-05
naive_lns_l9,naive,lns,9,soft,treatment,naive_vs_random,0.007874109072747796,0.007930054259192375,0.03904789133653033,0.20165260666409812,0.6985451204418406,0.31004793972259725,1.0740375687631822,-0.11263305203218678,-0.4026028685908176,0.6607142857142857,6.273214434094084,0.11189037288916019,1.3426844746699222,5.594518644458009e-05,0.015664652204482425,5.594518644457848e-05
naive_lns_l10,naive,lns,10,soft,treatment,naive_vs_random,0.007874109072747796,0.007930054259192375,0.03904789133653033,0.20165260666409812,0.6985451204418406,0.31004793972259725,1.0740375687631822,-0.11263305203218678,-0.4026028685908176,0.6607142857142857,6.273214434094084,0.11189037288916019,1.3426844746699222,5.594518644458009e-05,0.015664652204482425,5.594518644457848e-05
